"biotypes"	"length"	"gc"
"ENSMUSG00000096378"	"miRNA"	126	57.14
"ENSMUSG00000033429"	"protein_coding"	824	50.36
"ENSMUSG00000096373"	"protein_coding"	2586	39.71
"ENSMUSG00000033427"	"protein_coding"	2008	50.70
"ENSMUSG00000096371"	"snoRNA"	132	46.97
"ENSMUSG00000096370"	"protein_coding"	1640	51.96
"ENSMUSG00000096377"	"miRNA"	83	46.99
"ENSMUSG00000096376"	"pseudogene"	537	37.99
"ENSMUSG00000033420"	"protein_coding"	5263	49.23
"ENSMUSG00000096374"	"pseudogene"	468	37.39
"ENSMUSG00000020708"	"protein_coding"	1355	51.73
"ENSMUSG00000037509"	"protein_coding"	2663	57.70
"ENSMUSG00000037503"	"protein_coding"	3915	53.60
"ENSMUSG00000027122"	"protein_coding"	1941	43.94
"ENSMUSG00000085873"	"antisense"	564	52.37
"ENSMUSG00000063019"	"protein_coding"	1107	56.46
"ENSMUSG00000027120"	"protein_coding"	1600	43.62
"ENSMUSG00000026950"	"protein_coding"	6126	46.56
"ENSMUSG00000060780"	"protein_coding"	2198	56.94
"ENSMUSG00000060787"	"protein_coding"	1084	51.20
"ENSMUSG00000026176"	"protein_coding"	2075	58.95
"ENSMUSG00000026177"	"protein_coding"	1158	56.01
"ENSMUSG00000026174"	"protein_coding"	1624	45.56
"ENSMUSG00000026175"	"protein_coding"	1233	54.38
"ENSMUSG00000071604"	"protein_coding"	2547	58.62
"ENSMUSG00000026173"	"protein_coding"	3078	49.54
"ENSMUSG00000026170"	"protein_coding"	1890	53.54
"ENSMUSG00000026171"	"protein_coding"	747	51.14
"ENSMUSG00000026179"	"protein_coding"	1617	57.14
"ENSMUSG00000026956"	"protein_coding"	1126	57.04
"ENSMUSG00000095455"	"pseudogene"	545	36.88
"ENSMUSG00000074232"	"protein_coding"	2036	42.58
"ENSMUSG00000074547"	"pseudogene"	612	52.12
"ENSMUSG00000060879"	"retrotransposed"	645	48.99
"ENSMUSG00000060878"	"protein_coding"	1052	45.06
"ENSMUSG00000038742"	"protein_coding"	1581	63.19
"ENSMUSG00000038740"	"protein_coding"	2053	57.87
"ENSMUSG00000038745"	"protein_coding"	3823	54.93
"ENSMUSG00000042826"	"protein_coding"	2786	52.59
"ENSMUSG00000042821"	"protein_coding"	1621	59.78
"ENSMUSG00000042828"	"protein_coding"	2460	57.50
"ENSMUSG00000005958"	"protein_coding"	3291	57.44
"ENSMUSG00000043190"	"protein_coding"	2328	41.15
"ENSMUSG00000005951"	"protein_coding"	2832	53.53
"ENSMUSG00000043192"	"protein_coding"	1413	54.85
"ENSMUSG00000076371"	"miRNA"	109	56.88
"ENSMUSG00000076370"	"miRNA"	104	40.38
"ENSMUSG00000076372"	"miRNA"	83	31.33
"ENSMUSG00000076377"	"miRNA"	83	39.76
"ENSMUSG00000076376"	"miRNA"	100	57.00
"ENSMUSG00000076379"	"miRNA"	85	35.29
"ENSMUSG00000049760"	"protein_coding"	755	52.72
"ENSMUSG00000049761"	"protein_coding"	685	44.96
"ENSMUSG00000049764"	"protein_coding"	5097	47.20
"ENSMUSG00000026824"	"protein_coding"	3654	44.56
"ENSMUSG00000035212"	"protein_coding"	1826	46.83
"ENSMUSG00000035211"	"protein_coding"	2631	54.62
"ENSMUSG00000026827"	"protein_coding"	2933	48.82
"ENSMUSG00000026820"	"protein_coding"	1076	59.24
"ENSMUSG00000026821"	"protein_coding"	1889	58.16
"ENSMUSG00000035215"	"protein_coding"	468	52.99
"ENSMUSG00000026828"	"protein_coding"	3949	45.89
"ENSMUSG00000026829"	"protein_coding"	1017	55.58
"ENSMUSG00000061666"	"protein_coding"	2336	44.78
"ENSMUSG00000046341"	"pseudogene"	710	51.70
"ENSMUSG00000046345"	"protein_coding"	1408	46.02
"ENSMUSG00000022255"	"protein_coding"	2075	43.88
"ENSMUSG00000022253"	"protein_coding"	3658	43.09
"ENSMUSG00000077776"	"snoRNA"	130	46.15
"ENSMUSG00000077777"	"snoRNA"	136	47.79
"ENSMUSG00000077772"	"snoRNA"	89	34.83
"ENSMUSG00000077771"	"snoRNA"	132	50.00
"ENSMUSG00000045690"	"protein_coding"	2981	45.72
"ENSMUSG00000045691"	"protein_coding"	2779	53.26
"ENSMUSG00000045693"	"protein_coding"	1781	43.05
"ENSMUSG00000045694"	"pseudogene"	331	45.72
"ENSMUSG00000028468"	"protein_coding"	1504	55.92
"ENSMUSG00000028469"	"protein_coding"	1559	52.97
"ENSMUSG00000028466"	"protein_coding"	865	53.00
"ENSMUSG00000028467"	"protein_coding"	2313	54.75
"ENSMUSG00000028464"	"protein_coding"	1286	56.75
"ENSMUSG00000008373"	"protein_coding"	2047	50.24
"ENSMUSG00000061701"	"protein_coding"	1439	46.15
"ENSMUSG00000028460"	"protein_coding"	1024	56.63
"ENSMUSG00000028461"	"protein_coding"	740	59.22
"ENSMUSG00000048411"	"protein_coding"	2860	45.77
"ENSMUSG00000048410"	"protein_coding"	2797	48.12
"ENSMUSG00000088101"	"snRNA"	65	30.77
"ENSMUSG00000088100"	"snoRNA"	122	35.25
"ENSMUSG00000088107"	"snRNA"	62	37.10
"ENSMUSG00000088106"	"snRNA"	111	43.24
"ENSMUSG00000088105"	"snoRNA"	131	56.49
"ENSMUSG00000088104"	"snoRNA"	95	47.37
"ENSMUSG00000088108"	"snoRNA"	138	55.80
"ENSMUSG00000043448"	"protein_coding"	2178	62.17
"ENSMUSG00000006360"	"protein_coding"	445	58.65
"ENSMUSG00000006362"	"protein_coding"	1743	60.21
"ENSMUSG00000006369"	"protein_coding"	2110	55.70
"ENSMUSG00000042312"	"protein_coding"	715	54.41
"ENSMUSG00000068860"	"protein_coding"	1624	54.61
"ENSMUSG00000044876"	"protein_coding"	1006	59.77
"ENSMUSG00000084909"	"lincRNA"	1723	44.75
"ENSMUSG00000084908"	"antisense"	1793	38.76
"ENSMUSG00000084907"	"lincRNA"	831	46.57
"ENSMUSG00000084906"	"lincRNA"	468	41.67
"ENSMUSG00000084905"	"antisense"	501	45.51
"ENSMUSG00000084904"	"lincRNA"	3089	44.84
"ENSMUSG00000084902"	"protein_coding"	2510	43.82
"ENSMUSG00000084901"	"lincRNA"	609	45.48
"ENSMUSG00000039092"	"protein_coding"	2493	43.31
"ENSMUSG00000052430"	"protein_coding"	3127	46.41
"ENSMUSG00000004018"	"protein_coding"	1187	42.37
"ENSMUSG00000079635"	"protein_coding"	1377	48.86
"ENSMUSG00000086800"	"lincRNA"	1490	50.47
"ENSMUSG00000079637"	"protein_coding"	757	51.78
"ENSMUSG00000079636"	"protein_coding"	708	47.49
"ENSMUSG00000079630"	"protein_coding"	929	50.91
"ENSMUSG00000079633"	"protein_coding"	1372	49.11
"ENSMUSG00000039098"	"protein_coding"	1193	58.84
"ENSMUSG00000032292"	"protein_coding"	1556	55.68
"ENSMUSG00000032293"	"protein_coding"	5808	39.10
"ENSMUSG00000032290"	"protein_coding"	4054	50.72
"ENSMUSG00000032291"	"protein_coding"	802	57.36
"ENSMUSG00000079639"	"protein_coding"	1399	49.24
"ENSMUSG00000079638"	"protein_coding"	727	50.95
"ENSMUSG00000032294"	"protein_coding"	2432	57.46
"ENSMUSG00000032295"	"protein_coding"	1264	57.09
"ENSMUSG00000081997"	"pseudogene"	303	52.81
"ENSMUSG00000081996"	"pseudogene"	455	63.52
"ENSMUSG00000081995"	"pseudogene"	351	43.30
"ENSMUSG00000044258"	"protein_coding"	1373	45.38
"ENSMUSG00000081993"	"pseudogene"	526	44.87
"ENSMUSG00000081992"	"pseudogene"	798	46.37
"ENSMUSG00000081991"	"pseudogene"	1423	44.48
"ENSMUSG00000081990"	"pseudogene"	307	55.05
"ENSMUSG00000044252"	"protein_coding"	1755	49.08
"ENSMUSG00000044250"	"protein_coding"	2198	54.09
"ENSMUSG00000081999"	"pseudogene"	662	49.70
"ENSMUSG00000044254"	"protein_coding"	3521	58.59
"ENSMUSG00000058357"	"pseudogene"	395	55.19
"ENSMUSG00000058355"	"protein_coding"	3813	40.18
"ENSMUSG00000058354"	"protein_coding"	2256	54.52
"ENSMUSG00000058351"	"protein_coding"	396	56.31
"ENSMUSG00000088811"	"snRNA"	107	38.32
"ENSMUSG00000088810"	"snoRNA"	130	40.00
"ENSMUSG00000088813"	"misc_RNA"	327	43.43
"ENSMUSG00000088812"	"snRNA"	104	32.69
"ENSMUSG00000088814"	"rRNA"	101	45.54
"ENSMUSG00000088817"	"snoRNA"	129	44.96
"ENSMUSG00000088816"	"snoRNA"	131	41.22
"ENSMUSG00000088819"	"misc_RNA"	248	46.37
"ENSMUSG00000088818"	"misc_RNA"	301	42.19
"ENSMUSG00000050122"	"protein_coding"	1504	50.16
"ENSMUSG00000000204"	"protein_coding"	3833	43.98
"ENSMUSG00000086418"	"antisense"	839	40.29
"ENSMUSG00000086413"	"lincRNA"	512	45.12
"ENSMUSG00000086411"	"antisense"	872	54.82
"ENSMUSG00000086410"	"lincRNA"	731	43.16
"ENSMUSG00000086417"	"antisense"	636	50.94
"ENSMUSG00000086416"	"antisense"	2839	41.85
"ENSMUSG00000086415"	"pseudogene"	442	51.13
"ENSMUSG00000086414"	"antisense"	2208	51.36
"ENSMUSG00000028883"	"protein_coding"	2602	45.26
"ENSMUSG00000059408"	"protein_coding"	1809	49.75
"ENSMUSG00000059409"	"protein_coding"	2926	55.06
"ENSMUSG00000059406"	"protein_coding"	3497	61.65
"ENSMUSG00000059401"	"protein_coding"	4071	51.83
"ENSMUSG00000075194"	"protein_coding"	927	40.24
"ENSMUSG00000075195"	"protein_coding"	963	39.46
"ENSMUSG00000075196"	"protein_coding"	960	39.90
"ENSMUSG00000075197"	"protein_coding"	951	40.80
"ENSMUSG00000075190"	"protein_coding"	939	38.76
"ENSMUSG00000028886"	"protein_coding"	2663	50.03
"ENSMUSG00000075192"	"protein_coding"	943	40.08
"ENSMUSG00000075193"	"protein_coding"	927	40.78
"ENSMUSG00000075198"	"protein_coding"	948	44.73
"ENSMUSG00000050526"	"protein_coding"	1768	46.55
"ENSMUSG00000041754"	"protein_coding"	994	49.30
"ENSMUSG00000041757"	"protein_coding"	7241	54.86
"ENSMUSG00000087312"	"lincRNA"	719	50.63
"ENSMUSG00000041750"	"protein_coding"	1243	50.84
"ENSMUSG00000028889"	"protein_coding"	956	55.11
"ENSMUSG00000047759"	"protein_coding"	3939	54.40
"ENSMUSG00000047757"	"protein_coding"	2785	40.82
"ENSMUSG00000088213"	"misc_RNA"	325	42.15
"ENSMUSG00000047751"	"protein_coding"	1227	63.49
"ENSMUSG00000034634"	"protein_coding"	691	54.41
"ENSMUSG00000048562"	"protein_coding"	4480	49.53
"ENSMUSG00000027708"	"protein_coding"	1654	39.53
"ENSMUSG00000056608"	"protein_coding"	11541	44.44
"ENSMUSG00000027706"	"protein_coding"	3966	42.39
"ENSMUSG00000056606"	"protein_coding"	3002	48.70
"ENSMUSG00000056605"	"protein_coding"	1333	56.55
"ENSMUSG00000051652"	"protein_coding"	4296	54.49
"ENSMUSG00000027702"	"protein_coding"	1891	41.30
"ENSMUSG00000056602"	"protein_coding"	10729	51.16
"ENSMUSG00000056600"	"protein_coding"	1046	53.15
"ENSMUSG00000000976"	"protein_coding"	2253	51.49
"ENSMUSG00000057554"	"protein_coding"	1776	45.66
"ENSMUSG00000057551"	"protein_coding"	1824	46.77
"ENSMUSG00000040407"	"protein_coding"	2151	45.99
"ENSMUSG00000040405"	"protein_coding"	1617	44.23
"ENSMUSG00000080718"	"pseudogene"	587	50.09
"ENSMUSG00000080719"	"pseudogene"	884	50.11
"ENSMUSG00000080716"	"pseudogene"	446	46.86
"ENSMUSG00000080717"	"protein_coding"	745	38.75
"ENSMUSG00000080714"	"pseudogene"	340	46.18
"ENSMUSG00000080715"	"pseudogene"	766	42.69
"ENSMUSG00000080712"	"pseudogene"	465	56.34
"ENSMUSG00000080713"	"pseudogene"	939	43.45
"ENSMUSG00000080710"	"pseudogene"	2009	40.32
"ENSMUSG00000080711"	"pseudogene"	333	46.85
"ENSMUSG00000070335"	"protein_coding"	612	62.58
"ENSMUSG00000085298"	"lincRNA"	1296	49.15
"ENSMUSG00000085290"	"pseudogene"	486	38.48
"ENSMUSG00000085292"	"antisense"	442	55.66
"ENSMUSG00000085293"	"lincRNA"	604	46.03
"ENSMUSG00000085295"	"antisense"	771	45.08
"ENSMUSG00000070334"	"protein_coding"	971	50.77
"ENSMUSG00000085297"	"antisense"	885	51.21
"ENSMUSG00000082417"	"pseudogene"	310	55.48
"ENSMUSG00000082416"	"pseudogene"	263	48.29
"ENSMUSG00000082415"	"pseudogene"	541	47.32
"ENSMUSG00000082414"	"pseudogene"	1284	51.32
"ENSMUSG00000046808"	"lincRNA"	2890	47.33
"ENSMUSG00000082412"	"pseudogene"	252	49.60
"ENSMUSG00000082411"	"pseudogene"	681	36.86
"ENSMUSG00000082410"	"pseudogene"	618	50.49
"ENSMUSG00000046804"	"protein_coding"	451	60.68
"ENSMUSG00000046805"	"protein_coding"	4335	45.70
"ENSMUSG00000046806"	"protein_coding"	1986	54.09
"ENSMUSG00000046807"	"protein_coding"	4601	54.49
"ENSMUSG00000082419"	"pseudogene"	498	54.22
"ENSMUSG00000082418"	"pseudogene"	3063	55.40
"ENSMUSG00000084005"	"pseudogene"	301	54.15
"ENSMUSG00000055415"	"protein_coding"	3879	47.72
"ENSMUSG00000089779"	"antisense"	670	54.33
"ENSMUSG00000089773"	"protein_coding"	1086	44.11
"ENSMUSG00000089771"	"antisense"	702	42.02
"ENSMUSG00000089776"	"antisense"	1814	54.36
"ENSMUSG00000089775"	"pseudogene"	3238	46.05
"ENSMUSG00000089774"	"protein_coding"	10913	41.58
"ENSMUSG00000003721"	"protein_coding"	791	47.82
"ENSMUSG00000015937"	"protein_coding"	1475	54.70
"ENSMUSG00000015932"	"protein_coding"	1911	45.58
"ENSMUSG00000007613"	"protein_coding"	2506	48.02
"ENSMUSG00000007610"	"protein_coding"	2034	59.20
"ENSMUSG00000007617"	"protein_coding"	2167	44.00
"ENSMUSG00000034063"	"protein_coding"	2802	51.68
"ENSMUSG00000055413"	"pseudogene"	803	58.24
"ENSMUSG00000061259"	"protein_coding"	2486	41.13
"ENSMUSG00000065546"	"miRNA"	102	48.04
"ENSMUSG00000065547"	"miRNA"	70	52.86
"ENSMUSG00000065544"	"miRNA"	70	38.57
"ENSMUSG00000065542"	"miRNA"	82	43.90
"ENSMUSG00000065543"	"miRNA"	98	58.16
"ENSMUSG00000065540"	"miRNA"	73	45.21
"ENSMUSG00000065541"	"miRNA"	107	61.68
"ENSMUSG00000009549"	"protein_coding"	673	48.91
"ENSMUSG00000065548"	"miRNA"	88	44.32
"ENSMUSG00000065549"	"miRNA"	70	51.43
"ENSMUSG00000081144"	"pseudogene"	765	44.44
"ENSMUSG00000081145"	"pseudogene"	634	55.21
"ENSMUSG00000081146"	"pseudogene"	1386	41.05
"ENSMUSG00000081147"	"pseudogene"	1558	54.17
"ENSMUSG00000081141"	"pseudogene"	581	45.61
"ENSMUSG00000081142"	"pseudogene"	551	47.55
"ENSMUSG00000081143"	"pseudogene"	629	47.54
"ENSMUSG00000081148"	"pseudogene"	619	46.04
"ENSMUSG00000085875"	"antisense"	468	70.48
"ENSMUSG00000085876"	"lincRNA"	646	49.54
"ENSMUSG00000085877"	"pseudogene"	751	47.17
"ENSMUSG00000094559"	"protein_coding"	1622	53.14
"ENSMUSG00000094558"	"protein_coding"	1960	38.98
"ENSMUSG00000085872"	"antisense"	737	57.12
"ENSMUSG00000073492"	"protein_coding"	2574	42.50
"ENSMUSG00000094555"	"pseudogene"	724	48.07
"ENSMUSG00000094554"	"snoRNA"	79	41.77
"ENSMUSG00000094557"	"retrotransposed"	333	47.45
"ENSMUSG00000094556"	"protein_coding"	684	45.91
"ENSMUSG00000094551"	"snRNA"	107	44.86
"ENSMUSG00000094550"	"snoRNA"	79	40.51
"ENSMUSG00000094553"	"protein_coding"	933	41.80
"ENSMUSG00000094552"	"IG_D_gene"	16	56.25
"ENSMUSG00000091318"	"protein_coding"	3748	40.02
"ENSMUSG00000074442"	"protein_coding"	377	48.81
"ENSMUSG00000083438"	"pseudogene"	1618	44.50
"ENSMUSG00000083439"	"pseudogene"	199	51.76
"ENSMUSG00000083436"	"pseudogene"	198	49.49
"ENSMUSG00000083437"	"pseudogene"	264	49.62
"ENSMUSG00000083434"	"pseudogene"	482	47.10
"ENSMUSG00000083435"	"pseudogene"	958	43.95
"ENSMUSG00000083432"	"pseudogene"	293	45.39
"ENSMUSG00000091315"	"pseudogene"	541	47.32
"ENSMUSG00000083430"	"pseudogene"	214	46.26
"ENSMUSG00000083431"	"pseudogene"	1981	43.11
"ENSMUSG00000093785"	"protein_coding"	972	37.55
"ENSMUSG00000093784"	"snoRNA"	76	57.89
"ENSMUSG00000093787"	"pseudogene"	148	47.30
"ENSMUSG00000093781"	"pseudogene"	907	37.38
"ENSMUSG00000093780"	"miRNA"	96	48.96
"ENSMUSG00000093782"	"miRNA"	53	67.92
"ENSMUSG00000073494"	"protein_coding"	1518	47.63
"ENSMUSG00000093789"	"protein_coding"	789	53.70
"ENSMUSG00000093788"	"pseudogene"	513	40.94
"ENSMUSG00000079853"	"protein_coding"	1073	37.54
"ENSMUSG00000001604"	"protein_coding"	924	55.42
"ENSMUSG00000045867"	"protein_coding"	1650	50.42
"ENSMUSG00000045868"	"protein_coding"	8846	40.09
"ENSMUSG00000067949"	"pseudogene"	838	38.33
"ENSMUSG00000067941"	"protein_coding"	1603	48.35
"ENSMUSG00000067942"	"protein_coding"	3791	37.69
"ENSMUSG00000095202"	"retrotransposed"	387	51.16
"ENSMUSG00000095203"	"pseudogene"	1347	53.67
"ENSMUSG00000095200"	"IG_V_gene"	351	50.14
"ENSMUSG00000095201"	"protein_coding"	924	42.86
"ENSMUSG00000095206"	"protein_coding"	171	38.01
"ENSMUSG00000095207"	"protein_coding"	2214	53.07
"ENSMUSG00000095204"	"IG_V_gene"	348	51.15
"ENSMUSG00000095205"	"snoRNA"	71	49.30
"ENSMUSG00000095208"	"protein_coding"	500	52.20
"ENSMUSG00000095209"	"miRNA"	125	59.20
"ENSMUSG00000032679"	"protein_coding"	1392	44.88
"ENSMUSG00000096579"	"pseudogene"	847	45.10
"ENSMUSG00000096578"	"pseudogene"	579	41.28
"ENSMUSG00000096571"	"protein_coding"	525	51.43
"ENSMUSG00000096570"	"miRNA"	71	60.56
"ENSMUSG00000096573"	"protein_coding"	912	53.29
"ENSMUSG00000096572"	"protein_coding"	705	46.10
"ENSMUSG00000096575"	"protein_coding"	702	45.58
"ENSMUSG00000096574"	"protein_coding"	1202	42.58
"ENSMUSG00000096577"	"IG_V_gene"	302	49.01
"ENSMUSG00000014686"	"protein_coding"	1635	60.24
"ENSMUSG00000023118"	"protein_coding"	1825	57.18
"ENSMUSG00000017421"	"protein_coding"	2258	44.13
"ENSMUSG00000017428"	"protein_coding"	1130	48.08
"ENSMUSG00000032671"	"protein_coding"	822	61.80
"ENSMUSG00000092669"	"misc_RNA"	268	47.39
"ENSMUSG00000092668"	"miRNA"	117	27.35
"ENSMUSG00000037740"	"protein_coding"	2667	55.23
"ENSMUSG00000037747"	"protein_coding"	1537	42.61
"ENSMUSG00000054141"	"protein_coding"	1054	46.02
"ENSMUSG00000092661"	"miRNA"	110	41.82
"ENSMUSG00000092660"	"miRNA"	84	34.52
"ENSMUSG00000092662"	"misc_RNA"	257	49.03
"ENSMUSG00000092665"	"misc_RNA"	297	62.63
"ENSMUSG00000092664"	"miRNA"	93	34.41
"ENSMUSG00000092667"	"misc_RNA"	286	50.00
"ENSMUSG00000092666"	"miRNA"	65	61.54
"ENSMUSG00000003541"	"protein_coding"	1131	54.38
"ENSMUSG00000081966"	"pseudogene"	498	47.79
"ENSMUSG00000032584"	"protein_coding"	4706	56.63
"ENSMUSG00000071434"	"protein_coding"	2801	41.16
"ENSMUSG00000074783"	"lincRNA"	994	45.50
"ENSMUSG00000096471"	"protein_coding"	705	46.10
"ENSMUSG00000032583"	"protein_coding"	2081	60.60
"ENSMUSG00000079173"	"protein_coding"	8910	54.56
"ENSMUSG00000079170"	"protein_coding"	736	39.95
"ENSMUSG00000079171"	"lincRNA"	325	40.31
"ENSMUSG00000032580"	"protein_coding"	3087	47.88
"ENSMUSG00000079174"	"protein_coding"	195	59.49
"ENSMUSG00000079175"	"protein_coding"	72	52.78
"ENSMUSG00000079179"	"processed_transcript"	1587	53.83
"ENSMUSG00000015484"	"protein_coding"	3882	52.22
"ENSMUSG00000015488"	"protein_coding"	1248	53.36
"ENSMUSG00000019689"	"protein_coding"	489	52.96
"ENSMUSG00000067297"	"protein_coding"	3291	41.55
"ENSMUSG00000039585"	"protein_coding"	4922	40.36
"ENSMUSG00000061607"	"protein_coding"	3878	52.63
"ENSMUSG00000050241"	"protein_coding"	1303	39.60
"ENSMUSG00000000560"	"protein_coding"	2392	41.68
"ENSMUSG00000050243"	"retrotransposed"	783	44.57
"ENSMUSG00000000562"	"protein_coding"	1794	48.26
"ENSMUSG00000050244"	"protein_coding"	6537	47.28
"ENSMUSG00000000567"	"protein_coding"	4135	49.26
"ENSMUSG00000050248"	"protein_coding"	2053	53.72
"ENSMUSG00000061603"	"protein_coding"	10263	45.92
"ENSMUSG00000025400"	"protein_coding"	766	53.57
"ENSMUSG00000062235"	"retrotransposed"	492	47.76
"ENSMUSG00000062234"	"protein_coding"	2629	51.12
"ENSMUSG00000062232"	"protein_coding"	4178	45.56
"ENSMUSG00000031378"	"protein_coding"	3057	56.38
"ENSMUSG00000031379"	"protein_coding"	1615	47.34
"ENSMUSG00000041417"	"protein_coding"	6379	44.19
"ENSMUSG00000041415"	"protein_coding"	9851	47.34
"ENSMUSG00000031370"	"protein_coding"	1251	48.72
"ENSMUSG00000031371"	"protein_coding"	971	50.99
"ENSMUSG00000031372"	"protein_coding"	1017	56.74
"ENSMUSG00000031373"	"protein_coding"	3296	42.77
"ENSMUSG00000031374"	"protein_coding"	3908	48.87
"ENSMUSG00000031375"	"protein_coding"	1429	52.96
"ENSMUSG00000031376"	"protein_coding"	4338	53.85
"ENSMUSG00000031377"	"protein_coding"	2719	43.39
"ENSMUSG00000093201"	"misc_RNA"	328	43.60
"ENSMUSG00000093202"	"miRNA"	110	59.09
"ENSMUSG00000093203"	"miRNA"	126	57.94
"ENSMUSG00000093205"	"misc_RNA"	269	45.72
"ENSMUSG00000093206"	"miRNA"	91	40.66
"ENSMUSG00000093207"	"miRNA"	101	49.50
"ENSMUSG00000093208"	"miRNA"	62	93.55
"ENSMUSG00000094964"	"pseudogene"	1502	42.74
"ENSMUSG00000094965"	"snoRNA"	88	44.32
"ENSMUSG00000094966"	"IG_V_gene"	340	55.29
"ENSMUSG00000094967"	"pseudogene"	1137	46.97
"ENSMUSG00000094960"	"snoRNA"	94	44.68
"ENSMUSG00000027082"	"protein_coding"	2377	40.54
"ENSMUSG00000094962"	"protein_coding"	51	64.71
"ENSMUSG00000094963"	"snRNA"	107	45.79
"ENSMUSG00000094968"	"miRNA"	121	49.59
"ENSMUSG00000094969"	"miRNA"	126	57.94
"ENSMUSG00000083375"	"pseudogene"	534	43.82
"ENSMUSG00000022708"	"protein_coding"	2353	48.61
"ENSMUSG00000064994"	"snoRNA"	135	53.33
"ENSMUSG00000029138"	"protein_coding"	1641	48.32
"ENSMUSG00000022701"	"protein_coding"	2079	49.27
"ENSMUSG00000029136"	"protein_coding"	664	47.15
"ENSMUSG00000029135"	"protein_coding"	5855	51.92
"ENSMUSG00000029134"	"protein_coding"	2727	49.40
"ENSMUSG00000022705"	"protein_coding"	1455	54.57
"ENSMUSG00000022704"	"protein_coding"	1309	48.83
"ENSMUSG00000022707"	"protein_coding"	2469	42.70
"ENSMUSG00000029130"	"protein_coding"	1022	46.52
"ENSMUSG00000053646"	"protein_coding"	3304	58.77
"ENSMUSG00000038354"	"protein_coding"	2394	57.62
"ENSMUSG00000038357"	"protein_coding"	601	53.24
"ENSMUSG00000053647"	"protein_coding"	1514	54.63
"ENSMUSG00000038351"	"protein_coding"	2668	56.40
"ENSMUSG00000038352"	"protein_coding"	1197	49.94
"ENSMUSG00000064795"	"snRNA"	184	39.67
"ENSMUSG00000020413"	"protein_coding"	2482	45.79
"ENSMUSG00000020412"	"protein_coding"	3747	53.07
"ENSMUSG00000020411"	"protein_coding"	3444	50.99
"ENSMUSG00000028668"	"protein_coding"	4708	48.41
"ENSMUSG00000064796"	"misc_RNA"	423	67.14
"ENSMUSG00000020415"	"protein_coding"	774	47.49
"ENSMUSG00000028664"	"protein_coding"	3884	55.72
"ENSMUSG00000020419"	"protein_coding"	1084	43.57
"ENSMUSG00000028661"	"protein_coding"	4713	61.28
"ENSMUSG00000028314"	"protein_coding"	2683	41.31
"ENSMUSG00000089152"	"snoRNA"	87	49.43
"ENSMUSG00000051177"	"protein_coding"	2795	46.30
"ENSMUSG00000062908"	"protein_coding"	871	51.40
"ENSMUSG00000089157"	"snoRNA"	138	42.03
"ENSMUSG00000062901"	"protein_coding"	6683	40.98
"ENSMUSG00000062906"	"protein_coding"	2070	56.55
"ENSMUSG00000062905"	"protein_coding"	2442	35.54
"ENSMUSG00000003099"	"protein_coding"	856	56.91
"ENSMUSG00000087128"	"lincRNA"	724	43.67
"ENSMUSG00000038970"	"protein_coding"	8114	51.92
"ENSMUSG00000038973"	"protein_coding"	658	53.50
"ENSMUSG00000038975"	"protein_coding"	1407	44.06
"ENSMUSG00000038976"	"protein_coding"	2737	59.38
"ENSMUSG00000087120"	"antisense"	294	58.16
"ENSMUSG00000087121"	"pseudogene"	777	53.02
"ENSMUSG00000087122"	"antisense"	635	46.77
"ENSMUSG00000087123"	"pseudogene"	318	52.20
"ENSMUSG00000087124"	"lincRNA"	506	47.63
"ENSMUSG00000087125"	"antisense"	2500	42.08
"ENSMUSG00000087127"	"lincRNA"	599	52.42
"ENSMUSG00000025161"	"protein_coding"	1545	58.11
"ENSMUSG00000025162"	"protein_coding"	1351	51.95
"ENSMUSG00000018659"	"protein_coding"	1749	53.81
"ENSMUSG00000025165"	"protein_coding"	1029	52.46
"ENSMUSG00000025169"	"protein_coding"	1308	55.66
"ENSMUSG00000018651"	"protein_coding"	949	46.58
"ENSMUSG00000018656"	"protein_coding"	1495	47.39
"ENSMUSG00000018654"	"protein_coding"	2166	54.19
"ENSMUSG00000032058"	"protein_coding"	1808	48.28
"ENSMUSG00000052488"	"protein_coding"	3794	57.51
"ENSMUSG00000032050"	"protein_coding"	3517	45.15
"ENSMUSG00000032051"	"protein_coding"	861	49.01
"ENSMUSG00000039000"	"protein_coding"	5033	46.97
"ENSMUSG00000052482"	"pseudogene"	1001	52.75
"ENSMUSG00000052485"	"protein_coding"	993	51.69
"ENSMUSG00000039007"	"protein_coding"	1923	46.39
"ENSMUSG00000039004"	"protein_coding"	2410	59.75
"ENSMUSG00000032057"	"protein_coding"	775	46.97
"ENSMUSG00000084599"	"rRNA"	116	49.14
"ENSMUSG00000068428"	"protein_coding"	4083	37.91
"ENSMUSG00000068426"	"protein_coding"	1118	38.37
"ENSMUSG00000028312"	"protein_coding"	2726	41.65
"ENSMUSG00000053286"	"protein_coding"	2664	48.65
"ENSMUSG00000053287"	"protein_coding"	918	43.25
"ENSMUSG00000053289"	"protein_coding"	3368	42.52
"ENSMUSG00000073909"	"protein_coding"	966	47.62
"ENSMUSG00000021428"	"protein_coding"	2744	46.65
"ENSMUSG00000073901"	"protein_coding"	960	46.46
"ENSMUSG00000060214"	"pseudogene"	589	50.80
"ENSMUSG00000021423"	"protein_coding"	997	44.83
"ENSMUSG00000073902"	"protein_coding"	2793	43.29
"ENSMUSG00000024413"	"protein_coding"	3271	47.29
"ENSMUSG00000090625"	"protein_coding"	1484	51.21
